item;Texto
1;"Buenos días 
Me dirijo a este correo porque ya no sé que hacer el director del campamento de canarias 50(Raúl). Ha prohibido la entrada a 4 trabajadores de mi empresa 4 familias que se quedan sin trabajo por razones personales.
Gracias a él y a sus malas gestiones en el campamento canarias 50. 
Mantiene relaciones íntimas con trabajadores de cruz roja y hace comentarios despectivos delante de otros trabajadores dirigidos al personal del catering. 
Acosa a la empresa hasta el punto de hacer k prohíban la entrada al personal sin derecho a reclamación ni justificación.
Pido una visita inesperada para que corroboren lo que les comentó. 
Somos 4 familias con hijos, algunas madres solteras que nos quedamos sin ingresos por temas de autoestima de una persona que no sabe gestionar un campamento de inmigración tanto por los usuarios como por los trabajadores. 
Los compañeros temen por su trabajo y la ansiedad nos acompaña día a día. Y con ese acoso no se puede trabajar
Gracias y un saludo."
2;Mirar que doy buenos consejos y erre que erre con pedrito ya he visto que el juez a rechazado la peticion de declarar por escrito pero yo lo que le he aconsejado que este tranquilo que si le tiene que estrechar la mano al juez como un amigo que se la estreche y que si begoña dijo de no declarar el tampoco al menos que vaya en contra de su mujer aunque lo mas recomendable es que hubiese declarado y con pruebas de que lo hacia por los españoles e ciudadanos y que es para ayudar y si que el juez va a grabar la conversacion como os dije como es el juez hace lo que le sale de los cojones y perdone la expression no deberia pero bueno y si las pruebas de oir y otros son recortes de periodicos falsos que pedrito enseñe los links que yo mande de como era su mujer y lo dicho tranquilo que no va a pasar nada teneis mi apoyo
3;Buenas tardes, Me dirijo al jefe superior en seguridad del complejo d la Moncloa y del Sr.presidente quién en estos momentos sustituye a Agustín. Este próximo lunes 29 d julio 2024 a las 10h los jóvenes y profesores del intercambio Valladolid París se presentarán en Moncloa junto con monseñorarzobispoeméritod ValladolidmonseñorRicardoBlazquez.  Envié programación por correo certificado. Por favor tengan algún detalle para ellos. No sé si el sr. Presidente saldrá a saludarles. Realizarán visita a Madrid.  Museo Thyssen y museo Reina Sofía. El martes 30 d julio 2024 realizarán la visita al Museo del Prado a las 10h.  Ustedes los d Moncloa se encargan q la visita a el Prado sea gratuita y les atienda mujer especializada en Velazquez y Goya .Gracias
4;Yo sí veo persecución en este caso.Es muy extraño y no hablo de lo que dice los del PP.Cuando se resuelva deberían denunciar a los del PP por injurias e infamias puesto que sí al Sr.Presidente lo llaman como ciudadano pues como tal merece se resarza su reputación.Animo y mucha suerte.
5;"Como usted sabrá, Baleares es la comunidad que más aporta por persona y segunda en general. Veo injusto que Madrid ""la que más aporta"" sea la que más recibe del estado y Baleares que es la segunda es la que menos recibe del estado: en infraestructuras, en sanidad, etc. Opino que si alguien aporta mucho, debería de recibir mucho también, ¿por qué no se crea riqueza en las comunidades pobres? así comunidades ricas como Baleares no tendrían que aportar tanto y más riqueza para todos. Lo cierto es que desde la Constitución ningún presidente del gobierno ha invertido en Baleares. El estado siempre ha tratado ha Baleares como una colonia, recuerdo un año (en 2003) que el turismo fue mal y Baleares tuvo que pagar de impuestos tanto como otros años en que el turismo le iba bien, lo cual es muy injusto y eso solo da más pobreza, si un año no recaudas tanto, no te tienen porque cobrar como cuando te va bien. Un sistema de financiación como el del País Vasco beneficiaría enormemente a Baleares. Hubo un tiempo en que Baleares fue durante bastantes años la comunidad con el PIB per cápita más alto del estado, Y ahora esta en el 4º puesto porque Madrid abusa mucho con los impuestos y por lo poco que invierte en Baleares, quisiera saber su opinión sobre esto y si usted invertirá en el futuro en Baleares o si le aliviará las cargas que desde siempre ha impuesto el gobierno central, saludos."
6;"Estimado Presidente: con todo el respeto, como votante del PSOE de larga trayectoria y convicción, no entiendo el acuerdo para gobernar en Cataluña. Siempre me ha parecido una aberración y una profunda injusticia la existencia de un régimen foral, la posibilidad de que exista otro en Cataluña no solo me parece insostenible, sino que sobrepasa cualquier línea roja. Eso sin mencionar la fragmentación de la AEAT, que debe ser el pilar del Estado. Entendí los indultos, pero esto va mucho más allá y traerá consecuencias mucho más peligrosas para el futuro, especialmente el de la izquierda. 

Confío en su criterio con el que he estado hasta ahora mayoritariamente de acuerdo y le deseo lo mejor en su batalla personal por la decencia en la política. 
Un saludo"
7;Buenos días, de nuevo señor Presidente. Cuando usted escribió una carta a los ciudadanos, me ví en la obligación, tras la persecución que sufre, en muchas ocasiones, injusta, por supuesto, a enviarle unas notas de ánimo. Pero esta mañana, desde mi lugar de vacaciones, al ver la noticia del acuerdo de financiación a Cataluña, no me queda más remedio, que interrumpirlas, unos minutos, para volver a enviarle unas notas, en este caso de reproche hacia usted. Creo, que, no entiende, que ha llegado el momento, de poner una barrera roja. No todo vale en política. Nuestra democracia, tiene límites, y muy importantes, la solidaridad territorial, que nunca se ha respetado, por ningún gobierno. No nos engañemos, lo que está haciendo usted, para llegar el PSOE a gobernar en CAtaluña, lo han hecho todos los gobiernos y partidos políticos. Pero vuelvo a decirle, lo mismo que la última vez, que le escribí. Echo de menos al Sánchez, del inicio. Ese Sánchez, al que he votado, siempre, no habría llegado hasta donde nos encontramos. Era leal, solidario, moderado, coherente. Ahora no le encuentro en sus actos. De hecho, cada vez, me da usted más miedo. Es una lástima. Lo he defendido, a usted, no al PSOE,  “a capa y espada”, en todas mis tertulias particulares. Ya le anuncio que no lo volveré a hacer. Me da tanta pena, no sabe hasta que punto, estoy decepcionada. Por favor, encuentre el rumbo, porque, no hace falta ceder hasta ese punto, ya que no hay alternativa, actualmente, que pueda gobernar, por ello, no es necesario, todo este agravio, hacia otras autonomías, hacia el resto de ciudadanos españoles. Plántese, si es necesario, es así, como estoy convencida, que saldría adelante. ¡Estoy convencida!. Si usted no lo ve así, me da mucha pena.
8;"Mr President,I have attached a copy of my letter to Sra Cristina Narbona relating to the corruption involving employees of SAREB Bank.

Señor Presidente, adjunto copia de mi carta a la Presidenta del PSOE, Sra. Cristina Narbona, en relación con la corrupción que afecta a empleados del Banco Sareb.
Usted fue informado sobre esta corrupción hace más de dos años.
Espero que se resuelva con urgencia

Atentimente. Anthony"
9;"Buenos días:
leo y oigo las noticias en la radio(SER) respecto del concierto económico especial para Catalunya que han pactado con ERC.
Nací en Guadalajara, vivo desde los 2 años (y tengo 62) en Valencia. Soy votante socialista desde siempre, y tenga la seguridad de que no votaré en la vida al PP o similares. Pero no se equivoque, muchos podemos NO VOTAR.
¿Somos de 2ª o 3ª los que no vivimos en País Vasco, Navarra o Catalunya?
Tenga la suficiente capacidad para salir en TV, en rueda de prensa, etc de forma INMEDIATA y diga a todos los españoles que lo que piensa firmar con Catalunya, AL DIA SIGUIENTE lo hace también con el resto de España. Nos nos tome por tontos. Les está dando nuevamente alas a los independentistas. Las declaraciones de los dirigentes de ERC lo demuestran. En las últimas elecciones catalanas, aumentó el número de votos hacia NO INDEPENDENCIA. Tenga valor y, si hace falta, que haya nuevas elecciones.
No sé quien le asesora en estas materias, pero o no le asesora bien o usted no le hace caso.
Está llevando a los socialistas españoles a la desgana y al enfado. 
Se lo está dejando a huevo a la derecha!!!!!!
Recapacite!!
Gracias y saludos."
10;"Buenos días Sr Presidente del Gobierno.

Ruego considere los acuerdos en Cataluña.
Traspasan la igualdad entre comunidades.

Llevo toda la vida siendo socialista  y siento muchísimo la deriva  de las negociaciones y las consecuencias que esto puede traer al partido.


No todo vale.

Quiero manifestarle todo mi apoyo a usted y a su esposa.
Y ánimo para seguir.
Atentamente.
Jovita"
